标题,地区,位置,具体位置,resblock-tag1_resblock-tag_resblock-type_resblock-tag2_resblock-tag3,均价/平方米每元,总价,类型,室厅数,面积
天马河·名荟,花都,铁路西,荔红南路2号,"住宅,低单价,低总价,小型社区,封闭管理",14500,总价68-150(万/套),在售,"1室,2室",建面 47-79㎡
富城华庭,增城,荔城增江,广汕公路增江小学西侧,"住宅,低单价,低总价,车位充足,人车分流",9000,总价79-156(万/套),在售,"2室,3室",建面 99-156㎡
中铁诺德·阅泷,白云,江高镇,江高镇广花路430号,"住宅,低单价,低总价,车位充足,人车分流",24000,总价165-350(万/套),在售,"2室,3室",建面 79-129㎡
品实·云湖花城,白云,石井,石沙路,"住宅,低总价,绿化率高,人车分流,国央企",35000,总价265-630(万/套),在售,"3室,4室",建面 70-141㎡
港航中心,黄埔,鱼珠,黄埔大道东983号,"商业类,绿化率高,人车分流,国央企,品牌房企",40000,总价270-621(万/套),在售,"2室,3室",建面 60-138㎡
时代印记,黄埔,知识城,广东省广州市黄埔区亨美西路,"住宅,低单价,低总价,绿化率高,人车分流",18000,总价155-245(万/套),在售,"3室,4室",建面 87-136㎡
珠光金融城壹号,天河,东圃,黄埔大道东724号,"写字楼,低单价,车位充足,人车分流,品牌房企",5000,总价3700-4000(万/套),在售,"3室,4室",建面 232-261㎡
凯德凯荔花园,增城,荔城西区,明慧路3号,"住宅,车位充足,人车分流,品牌房企,健身跑道",15500,总价140-225(万/套),在售,"3室,4室",建面 86-134㎡
越秀逸泉锦翠,从化,江浦街,环市东路广外实验小学东侧,"住宅,低总价,绿化率高,人车分流,国央企",9800,总价79-105(万/套),在售,"3室,4室",建面 71-92㎡
中国铁建海语熙岸,南沙,南沙区府,广州市南沙区美心路中国铁建海语熙岸,"住宅,车位充足,绿化率高,国央企,品牌房企",30000,总价268-730(万/套),在售,"3室,4室",建面 89-260㎡
富力新城,黄埔,开发东区,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,"住宅,低单价,低总价,绿化率高,人车分流",25000,总价170-310(万/套),在售,"2室,3室",建面 73-120㎡
天河云商汇,天河,智慧城,华观路,"商业类,低总价,人车分流,封闭管理,自持商业",36000,总价160-260(万/套),在售,"1室,3室",建面 32-58㎡
天麟府,天河,天河公园,黄埔大道中,"住宅,车位充足,绿化率高,品牌房企,贴心物业",150000,总价1700-2580(万/套),在售,"3室,4室",建面 113-213㎡
珠光云山壹号,白云,同和,广州大道北云灏街157医院地块,"住宅,车位充足,绿化率高,置换改善,高品质小区",100000,总价1700(万/套),在售,4室,建面 215㎡
加富花园,番禺,石碁,莲塘路3号,"住宅,低单价,低总价,低密居所,人车分流",24500,总价203-278(万/套),在售,"2室,3室",建面 51-118㎡
越秀臻裕府,花都,镜湖大道,凤凰南路,"住宅,车位充足,绿化率高,国央企,品牌房企",28000,总价260-350(万/套),在售,"3室,4室",建面 98-124㎡
保利335金融中心,增城,凤凰城,汽车城大道57号,"写字楼,车位充足,大型社区,国央企,品牌房企",价格待定,,待售,,
越秀·天荟江湾,海珠,工业大道南,瑞宝路12号,"商业,人车分流,大型社区,国央企,品牌房企",价格待定,,待售,,
番禺敏捷广场,番禺,万博,番禺大道北331号,"写字楼,人车分流,大型社区,品牌房企,近地铁",价格待定,,待售,,
珠江未来城,番禺,莲花山,广东省广州市番禺区石楼镇胜洲村龙启路80号,"商业,低总价,人车分流,大型社区,品牌房企",20000,总价750(万/套),在售,5室,建面 335㎡
珠江时光荟,增城,永宁,广东省广州市增城区永宁街道创优路,"住宅,低单价,低总价,车位充足,人车分流",11200,总价78-125(万/套),在售,"3室,4室",建面 66-96㎡
广垦天河1号,天河,沙太南,怡新路广垦天河1号,"商业,人车分流,小型社区,国央企,品牌房企",价格待定,,待售,,
珠江未来城,番禺,莲花山,广东省广州市番禺区金荷三路,"写字楼,人车分流,大型社区,品牌房企,公交直达",价格待定,,待售,,
广深恒大国际旅游城,南沙,万顷沙,南沙万环西路广深恒大国际旅游城,"酒店式公寓,小型社区,国央企,品牌房企,loft",价格待定,,待售,,
凤凰瑞景,花都,新区,广州市花都区凤凰北路45号,"住宅,车位充足,绿化率高,入户花园,水系园林",28000,总价230-750(万/套),在售,"2室,3室",建面 84-220㎡
卓越招商臻珑府,黄埔,夏园,5号线庙头路站旁,"住宅,绿化率高,人车分流,国央企,品牌房企",40000,总价420(万/套),在售,4室,建面 78-115㎡
中旅天宸府,海珠,沙园,广东省广州市海珠区昌岗中路86号,"住宅,车位充足,人车分流,国央企,品牌房企",56500,总价450-850(万/套),在售,"3室,4室",建面 82-144㎡
合景臻溋名铸,天河,东圃,黄埔大道东合景臻溋名铸,"住宅,车位充足,绿化率高,品牌房企,入户花园",价格待定,,在售,,
富力富云山,白云,江夏,广东省广州市白云区白云大道北179号,"住宅,绿化率高,人车分流,品牌房企,近地铁",73000,总价870-1400(万/套),在售,"3室,4室",建面 120-190㎡
智通广场,海珠,琶洲东,安悦路智通广场,"写字楼,国央企,品牌房企,近地铁,地铁沿线",价格待定,,待售,,
珠江海珠里,海珠,江燕路,燕子岗路68号,"住宅,车位充足,绿化率高,国央企,品牌房企",45000,总价320-600(万/套),在售,"2室,3室",建面 75-129㎡
中绿蔚蓝湾,南沙,南沙港,商贸大道中绿蔚蓝湾,"住宅,车位充足,绿化率高,国央企,品牌房企",26000,总价220-380(万/套),在售,"3室,5室",建面 89-132㎡
广深恒大国际旅游城,南沙,万顷沙,南沙万环西路广州恒大国际旅游城,"写字楼,小型社区,国央企,品牌房企",价格待定,,待售,,
中新紫荆府,增城,中新镇,广东省广州市增城区城高路,"住宅,低单价,低总价,人车分流,大型社区",12000,总价88-146(万/套),在售,"2室,3室",建面 74-122㎡
云谷梦筑,从化,良口镇,广东省广州市从化区,"商业类,绿化率高,人车分流,国央企,品牌房企",13500,总价96-140(万/套),在售,"2室,4室",建面 69-99㎡
中新智慧园,黄埔,知识城,广州市黄埔区腾龙大道与凤湖中路交汇处南侧,"写字楼,车位充足,人车分流,品牌房企,近地铁",价格待定,,待售,,
合景臻溋名铸,天河,东圃,黄埔大道东合景臻溋名铸,"商业,车位充足,人车分流,品牌房企,休闲会所",价格待定,,在售,,
天河合生缦云,天河,黄村,广东省广州市天河区,"住宅,车位充足,绿化率高,健身跑道,儿童乐园",90000,总价1200-4000(万/套),在售,"3室,4室",建面 145-315㎡
中新智慧园,黄埔,知识城,广州市黄埔区腾龙大道与凤湖中路交汇处南侧,"商业,车位充足,人车分流,品牌房企,近地铁",价格待定,,待售,,
汇金中心,天河,金融城,天河广州市天河区黄埔大道与科韵路交界,"写字楼,人车分流,封闭管理,国央企,品牌房企",50000,总价850(万/套),在售,,
时代天韵（黄埔）,黄埔,香雪,广州·黄埔科学城·开源大道·2号线(开源大道东站),"住宅,低单价,低总价,车位充足,绿化率高",29000,总价310-450(万/套),在售,"3室,4室",建面 81-110㎡
越秀TOD星航,黄埔,夏园,广东省广州市黄埔区黄埔东路2009,"住宅,低总价,车位充足,绿化率高,国央企",33000,总价300-500(万/套),在售,"3室,4室",建面 88-141㎡
保利天汇,天河,黄村,大观中路保利天汇,"商业类,低总价,人车分流,小型社区,国央企",35000,总价60-70(万/套),在售,1室,建面 21-24㎡
保利天汇,天河,黄村,大观中路保利天汇,"写字楼,人车分流,大型社区,国央企,品牌房企",40000,总价8000(万/套),待售,,
南方智媒大厦,黄埔,鱼珠,广东省广州市黄埔区黄埔大道东,"写字楼,车位充足,人车分流,国央企,品牌房企",37779,总价1080-1300(万/套),在售,0室,建面 348-413㎡
广州空港融创中心,白云,花东镇,广州空港经济区3号线及9号线高增地铁站旁,"写字楼,人车分流,大型社区,品牌房企,地铁沿线",价格待定,,待售,,
美的江上沄启,南沙,明珠湾,横沥镇晓风印月东三街1号,"商业类,低总价,人车分流,封闭管理,品牌房企",19500,总价65(万/套),在售,2室,建面 37-62㎡
创基天璟,增城,荔城西区,增城大道72号,"住宅,车位充足,人车分流,品牌房企,贴心物业",15800,总价150-163(万/套),在售,"3室,4室",建面 92-102㎡
明珠花园,海珠,东晓路,广东省广州市海珠区东晓路205号,"住宅,封闭管理,多轨交汇,地铁沿线,小三居",42000,总价398-620(万/套),在售,"3室,4室",建面 93-103㎡
旭辉光屿南方,白云,钟落潭,广东省广州市白云区钟落潭镇,"住宅,特价好房,低单价,绿化率高,人车分流",15000,总价135-200(万/套),在售,"3室,4室",建面 75-114㎡
越秀·天荟江湾,海珠,工业大道南,瑞宝路12号,"商业类,低总价,人车分流,大型社区,国央企",25000,总价80-1600(万/套),在售,"2室,3室",建面 36-293㎡
中交国际邮轮广场,南沙,南沙港,广州市南沙区港前大道南沙科技馆对面,"商业类,车位充足,人车分流,国央企,品牌房企",25000,总价175-400.2(万/套),在售,"2室,3室",建面 66-482㎡
东方名都,增城,白江,"东江大道北8-68号, 大林边一路9-47号","底商,人车分流,大型社区,入户花园,健身跑道",23000,,在售,,
景业壹方天地,增城,石滩镇,新城大道景业壹方天地,"住宅,低单价,低总价,车位充足,封闭管理",13000,总价100-140(万/套),在售,"2室,3室",建面 77-105㎡
龙湖金地天峯,番禺,番禺客运站,傍雁路龙湖金地天峯,"住宅,人车分流,大型社区,品牌房企,公交直达",38000,总价500-510(万/套),在售,4室,建面 90-142㎡
叠溪花园,增城,朱村,朱村街道朱石路以东,"商业,车位充足,人车分流,品牌房企,健身跑道",价格待定,,待售,,
广州空港融创中心,白云,花东镇,机场高速广州空港融创中心,"商业类,人车分流,大型社区,品牌房企,地铁沿线",15000,总价50-100(万/套),待售,"1室,2室",建面 32-76㎡
香江悦府,增城,朱村,广州绿道香江悦府,"住宅,车位充足,人车分流,品牌房企,地铁沿线",110,,待售,"3室,4室",建面 76-101㎡
金海岸花园云起兴泰,番禺,番禺客运站,兴泰路金海岸花园云起兴泰,"住宅,车位充足,绿化率高,品牌房企,公交直达",43000,总价193-620(万/套),在售,"1室,2室",建面 52-137㎡
五矿招商江天际,白云,石井,五矿招商江天际美学体验馆,"住宅,低总价,人车分流,大型社区,国央企",48000,总价350-800(万/套),在售,"3室,4室",建面 78-140㎡
合景尚悦,从化,鳌头镇,广州市从化区鳌头镇城鳌大道中与神棋路口交汇处,"住宅,绿化率高,人车分流,品牌房企",价格待定,,待售,,
新城翡丽云境,白云,钟落潭,广东省广州市白云区福龙路24,"住宅,低单价,低总价,车位充足,绿化率高",16000,总价120-185(万/套),在售,"3室,4室",建面 76-110㎡
中海观澔府,海珠,工业大道南,广东省广州市海珠区石岗大街,"住宅,绿化率高,人车分流,国央企,品牌房企",80000,总价800-1000(万/套),在售,4室,建面 89-126㎡
珠江西湾里,荔湾,西村,西湾横路珠江西湾里,"住宅,低总价,绿化率高,人车分流,国央企",42000,总价274-470(万/套),在售,"2室,3室",建面 62-89㎡
越秀·万博·瑞麓府,番禺,汉溪长隆,广东省广州市番禺区欢乐大道,"住宅,车位充足,绿化率高,置换改善,高品质小区",48000,总价650-1550(万/套),在售,"4室,5室",建面 116-253㎡
越秀·天瀛,荔湾,龙溪,海龙路越秀天瀛,"住宅,低总价,车位充足,绿化率高,国央企",32000,总价300-480(万/套),在售,"3室,4室",建面 87-125㎡
越秀星寰TOD,番禺,钟村,广州市番禺区钟村街博鸿三路38号,"住宅,低总价,车位充足,绿化率高,国央企",36000,总价315-452(万/套),在售,"3室,4室",建面 89-133㎡
奥飞文创中心,黄埔,知识城,创新大道以西、凤湖二路以北,"商业类,低单价,低总价,车位充足,绿化率高",15000,总价65-80(万/套),在售,2室,建面 43-53㎡
珠江海御,南沙,南沙湾,海滨路珠江海御,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",28000,总价320-580(万/套),在售,"3室,4室",建面 110-195㎡
敏捷尚品国际,南沙,进港大道,南沙区进港大道187号北侧,"商业,低单价,低总价,人车分流,大型社区",9500,总价65-76(万/套),在售,"1室,2室",建面 59-69㎡
嘉裕中心J公馆,天河,珠江新城中,珠江东路421号,"商业类,车位充足,人车分流,品牌房企,私属庭院",95000,总价660-2300(万/套),在售,1室,建面 69-179㎡
华新方圆·333,海珠,江燕路,海珠区工业大道中333号,"商业类,低总价,绿化率高,人车分流,品牌房企",38000,总价130-205(万/套),在售,"1室,2室",建面 33-58㎡
四方天地,增城,朱村,荔富汇景华庭,"住宅,车位充足,低密居所,置换改善,养老舒适",18000,总价170-226(万/套),在售,"3室,4室",建面 89-126㎡
保利南方财经大厦,天河,金融城,天河国际金融城金融方城（近临江大道）,"写字楼,人车分流,封闭管理,国央企,品牌房企",42000,总价1600(万/套),在售,6室,建面 353㎡
保利中海金地·大国璟,增城,荔城西区,广汕公路保利中海金地·大国璟增城大道471号,"底商,车位充足,人车分流,国央企,品牌房企",22000,总价100(万/套),待售,,
卓越晴翠府,番禺,桥南,广州市番禺区桥南联兴路28号,"住宅,低单价,低总价,车位充足,人车分流",28000,总价200-385(万/套),在售,"2室,3室",建面 76-130㎡
保利锦绣公馆,白云,南湖,大源南路84号,"商业类,绿化率高,人车分流,国央企,品牌房企",21000,总价70-110(万/套),待售,,建面 33-50㎡
招商电建南国·雍云邸,白云,石井,广东省广州市白云区石沙路石井工业区八横路,"住宅,低单价,低总价,绿化率高,人车分流",27500,总价215-295(万/套),在售,"3室,4室",建面 76-105㎡
耀胜新世界广场·耀胜尊府,番禺,汉溪长隆,汉兴西路耀胜新世界广场,"住宅,车位充足,人车分流,品牌房企,近地铁",65000,总价500-810(万/套),在售,"3室,4室",建面 77-132㎡
徐福上坤云境风华,增城,朱村,朱村大道中徐福上坤云境风华,"住宅,车位充足,人车分流,品牌房企,近地铁",价格待定,,待售,,
广州幸福湾,荔湾,东塱,汇盛路广州幸福湾,"住宅,车位充足,绿化率高,地铁沿线,大平层",80000,总价2250-2650(万/套),在售,"4室,5室",建面 255-285㎡
招商保利海珠天珺,海珠,黄埔村,海珠区新港东路招商保利·海珠天珺项目部,"住宅,车位充足,人车分流,国央企,品牌房企",100000,总价1900(万/套),在售,4室,建面 137-262㎡
首铸·铂瑞云湾,番禺,石楼,莲港大道与庄园路交汇,"住宅,低单价,低总价,车位充足,绿化率高",24000,总价200-490(万/套),在售,"3室,4室",建面 86-154㎡
越秀星耀TOD,增城,新塘北,环城路越秀·星耀TOD,"住宅,车位充足,人车分流,近地铁,地铁沿线",20000,总价200-250(万/套),在售,"3室,4室",建面 100-125㎡
广州城投·禧悦府,增城,凤凰城,汽车城大道广州城投禧悦府,"住宅,车位充足,人车分流,国央企,品牌房企",29000,总价265-440(万/套),在售,"2室,3室",建面 89-146㎡
华润置地金沙瑞府,白云,金沙洲,广州市白云区金沙洲浔峰山东路西北侧,"住宅,车位充足,绿化率高,国央企,置换改善",50000,总价650(万/套),在售,4室,建面 143㎡
建发明珠湾玺,南沙,明珠湾,凤凰大道凤凰二桥地铁18号线横沥站旁约250米处,"住宅,车位充足,人车分流,国央企,品牌房企",31000,总价370-530(万/套),在售,4室,建面 88-142㎡
深业颐泽府,南沙,明珠湾,凤凰大道深业颐泽府,"住宅,车位充足,绿化率高,国央企,品牌房企",37000,总价340-720(万/套),在售,4室,建面 103-190㎡
华宇·锦绣云赋,从化,旧城区,从城大道华宇·锦绣云赋,"住宅,绿化率高,人车分流,品牌房企,水系园林",15000,总价108-165(万/套),在售,"3室,4室",建面 76-109㎡
金地景业格林水岸,增城,中新镇,新新大道北金地景业格林水岸,"住宅,车位充足,人车分流,品牌房企,公交直达",价格待定,,待售,,
金地·云上,增城,中新镇,广东省广州市增城区S118(新新大道北),"住宅,低单价,低总价,人车分流,大型社区",11000,总价80-145(万/套),在售,2室,建面 60-104㎡
悦辰壹号,黄埔,知识城,广东省广州市黄埔区Y079,"住宅,低单价,低总价,车位充足,人车分流",24000,总价190-320(万/套),在售,"3室,4室",建面 89-168㎡
国科众安江屿大观,番禺,市桥,广东省广州市番禺区 沙堤路600号,"商业类,车位充足,人车分流,品牌房企,公交直达",16800,总价65-600(万/套),在售,"2室,3室",建面 39-195㎡
振业学府里,增城,白江,南顺石场路13号,"住宅,低总价,人车分流,小型社区,国央企",14000,总价105-155(万/套),在售,"3室,4室",建面 75-107㎡
珠江博悦庭,增城,增城碧桂园,新城大道珠江博悦庭,"住宅,人车分流,大型社区,品牌房企,小户型",价格待定,,待售,,
越秀联投知识城·居山涧,黄埔,知识城,广州黄埔知识城凤凰湖旁,"住宅,绿化率高,低密居所,国央企,置换改善",46000,总价650-1050(万/套),在售,4室,建面 140-190㎡
中洲紫轩,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,"住宅,车位充足,人车分流,品牌房企,近地铁",50000,总价420-950(万/套),在售,"3室,4室",建面 83-169㎡
广州城投领南府,番禺,广州南站,石洲中路广州城投领南府,"住宅,低总价,车位充足,绿化率高,国央企",38000,总价350-600(万/套),在售,"2室,3室",建面 98-143㎡
云裳峯尚,白云,同和,白云区白水塘文明路1号,"住宅,车位充足,人车分流,品牌房企,休闲会所",55000,总价562-800(万/套),在售,"3室,4室",建面 78-133㎡
侨鑫保利汇景台,天河,汇景新城,科韵北路23号,"住宅,车位充足,绿化率高,置换改善,高品质小区",136000,总价2400-4060(万/套),在售,"4室,5室",建面 173-290㎡
金科景业·雍景园,增城,中新镇,坑贝地铁站B口东100米,"底商,低总价,车位充足,人车分流,品牌房企",24500,总价70-125(万/套),待售,1室,建面 36-86㎡
碧桂园云樾江湾,增城,增城区府,新城大道碧桂园云樾江湾,"住宅,车位充足,绿化率高,品牌房企,近地铁",21000,总价180-295(万/套),在售,"3室,4室",建面 88-137㎡
保利天汇,天河,黄村,大观中路保利天汇,"底商,车位充足,人车分流,国央企,品牌房企",55000,总价616(万/套),在售,1室,建面 112㎡
越秀·大学·星汇城,番禺,国际创新城,广州市番禺区新造镇曾边大街66号,"住宅,低总价,车位充足,人车分流,国央企",40000,总价330-550(万/套),在售,"3室,4室",建面 86-125㎡
保利珑悦,增城,永宁,广州市增城区创业大道,"住宅,低单价,低总价,车位充足,人车分流",12000,总价85-142(万/套),在售,"2室,3室",建面 77-105㎡
飞晟汇,黄埔,香雪,广州市黄埔区科学城开创大道彩文路166号,"写字楼,车位充足,近地铁,地铁沿线,大平层",21800,总价297-1822(万/套),在售,"1室,5室",建面 120-750㎡
路劲星棠,增城,白江,东洲大道路劲星棠,"住宅,特价好房,车位充足,人车分流,品牌房企",16000,总价120-160(万/套),在售,"2室,4室",建面 78-95㎡
知识城投资嘉达·山与墅,黄埔,知识城,广东省广州市黄埔区Y079与长庚北街交叉路口往西约200米,"住宅,车位充足,绿化率高,国央企,置换改善",45000,总价600-900(万/套),在售,"3室,4室",建面 166-175㎡
远洋天成,增城,新塘北,广东省广州市增城区石新路,"住宅,人车分流,小型社区,国央企,品牌房企",16500,总价118-180(万/套),在售,"3室,4室",建面 69-107㎡
广晟中国铁建花语天珹,花都,花城街,黄槐路广晟中铁建花语天珹,"住宅,车位充足,绿化率高,国央企,品牌房企",21000,总价220-340(万/套),在售,"2室,3室",建面 97-137㎡
金地商置都会峯范,花都,铁路西,新街大道100号,"住宅,低总价,车位充足,人车分流,品牌房企",18000,总价150-249(万/套),在售,"2室,3室",建面 81-125㎡
中建凤榕台,增城,朱村,广东省广州市增城区福昆线辅路,"住宅,人车分流,大型社区,国央企,品牌房企",23000,总价154-236(万/套),在售,"3室,4室",建面 67-103㎡
中铁建信达花语天宸,黄埔,科学城,广汕公路与班岭路交叉西南420米,"住宅,车位充足,人车分流,国央企,品牌房企",41000,总价420-800(万/套),在售,"3室,4室",建面 97-168㎡
中盛顺和家园,增城,荔城增江,广汕公路中盛顺和家园,"住宅,低单价,低总价,车位充足,人车分流",12000,总价115-205(万/套),在售,"3室,4室",建面 83-143㎡
方圆滨江壹号,海珠,客村,海珠区艺景路与友邻三路交叉口南120米,"住宅,绿化率高,人车分流,品牌房企,近地铁",110000,总价700-1580(万/套),在售,"3室,4室",建面 90-132㎡
翰盛府,番禺,汉溪长隆,汉兴西路锦绣香江拾光盛境,"住宅,绿化率高,低密居所,置换改善,高品质小区",80000,总价430-1700(万/套),在售,"3室,4室",建面 78-215㎡
中海保利朗阅,荔湾,西朗,广东省广州市荔湾区,"住宅,车位充足,绿化率高,国央企,品牌房企",58000,总价630-1300(万/套),在售,"2室,3室",建面 98-182㎡
珠江未来城,番禺,莲花山,广东省广州市番禺区石楼镇胜洲村龙启路80号,"商业类,低单价,低总价,绿化率高,人车分流",11000,总价40-95(万/套),在售,"1室,2室",建面 36-68㎡
星河畔月湾,南沙,横沥,新广一路星河畔月湾,"住宅,低单价,低总价,车位充足,绿化率高",20000,总价150-310(万/套),在售,"3室,4室",建面 80-126㎡
振业天成,黄埔,科学城,广州市黄埔区联和街黄陂四路,"住宅,低总价,车位充足,绿化率高,国央企",35500,总价498-800(万/套),在售,4室,建面 104-168㎡
绿城桂语汀澜,南沙,明珠湾,广州市南沙区横沥镇沥岛三多涌以东、义沙路以西、横沥大道东以南,"住宅,车位充足,绿化率高,国央企,品牌房企",28000,总价260-406(万/套),在售,4室,建面 99-140㎡
琶洲南TOD,海珠,赤岗,广东省广州市海珠区,"住宅,车位充足,人车分流,国央企,品牌房企",130000,总价1750-3500(万/套),在售,"3室,4室",建面 142-276㎡
招商湾区1872,南沙,东涌,南沙庆盛港科大广州校区旁,"住宅,低总价,车位充足,人车分流,国央企",22000,总价170-230(万/套),在售,"3室,4室",建面 79-105㎡
海语天悦湾,南沙,明珠湾,凤凰大道越秀中国铁建南投海语天悦湾,"住宅,车位充足,绿化率高,国央企,品牌房企",28000,总价230-460(万/套),在售,"2室,3室",建面 80-142㎡
国贸学原,增城,荔城西区,广汕公路国贸学原,"住宅,低单价,低总价,人车分流,大型社区",13500,总价85-200(万/套),在售,"2室,3室",建面 76-128㎡
星河江缦,荔湾,滘口,广东省广州市荔湾区滘口大街与鹅潭路交叉口西北,"住宅,车位充足,绿化率高,品牌房企,近地铁",70000,总价900-2000(万/套),在售,4室,建面 179-235㎡
公交珠实花城云著,白云,夏茅,广花一路公交珠实花城云著,"住宅,低总价,车位充足,人车分流,国央企",35000,总价249-320(万/套),在售,"3室,4室",建面 69-87㎡
中海江泰里,海珠,江燕路,海珠区凤阳街江泰路36号,"住宅,绿化率高,人车分流,国央企,品牌房企",65000,总价520-730(万/套),在售,"3室,4室",建面 75-105㎡
保利水木芳华,增城,朱村,朱村大道西保利水木芳华,"住宅,低单价,低总价,人车分流,大型社区",12000,总价100-164(万/套),在售,"1室,2室",建面 67-103㎡
保利领秀海,番禺,莲花山,广州市番禺区石楼镇鲤鱼岗9号名人山庄,"住宅,低单价,低总价,绿化率高,人车分流",22000,总价175-480(万/套),在售,"3室,4室",建面 74-170㎡
云麓花城,白云,太和,白云城投云麓花城，太和镇沙亭北路南侧地块,"住宅,低单价,低总价,车位充足,人车分流",23000,总价154-240(万/套),在售,"3室,4室",建面 67-97㎡
电建都汇府,花都,新区,广东省广州市花都区迎宾大道,"住宅,车位充足,人车分流,国央企,品牌房企",36000,总价430-730(万/套),在售,"3室,4室",建面 120-190㎡
金地公园名著,增城,永宁,广东省广州市增城区新新公路与创盈路交叉口西南140米,"住宅,低单价,低总价,车位充足,人车分流",12200,总价83-135(万/套),在售,"2室,3室",建面 69-106㎡
广州滨江上都,荔湾,鹤洞,芳村大道南广州滨江上都,"商业类,车位充足,绿化率高,品牌房企,多轨交汇",70000,总价450-680(万/套),在售,"2室,3室",建面 105-355㎡
中海映澜台,海珠,工业大道南,新业路中海映澜台,"住宅,车位充足,人车分流,国央企,品牌房企",110000,总价2200-2900(万/套),在售,"4室,5室",建面 141-246㎡
保利湖光悦色,海珠,赤岗,华洲路保利湖光悦色,"住宅,车位充足,绿化率高,国央企,品牌房企",85000,总价850-1700(万/套),在售,4室,建面 120-200㎡
中洲紫轩,黄埔,鱼珠,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,"商业类,低总价,车位充足,人车分流,品牌房企",35000,总价156-550(万/套),待售,,建面 41-115㎡
广垦天河1号,天河,沙太南,怡新路广垦天河1号,"商业类,低总价,人车分流,封闭管理,国央企",30000,总价112-132(万/套),在售,"1室,2室",建面 40㎡
越秀星耀TOD,增城,新塘北,环城路越秀·星耀TOD,"商业类,低总价,人车分流,大型社区,近地铁",16000,总价58-104(万/套),在售,"2室,3室",建面 36-65㎡
珠光海珠新城,海珠,南洲,南洲路975号,"住宅,车位充足,绿化率高,多轨交汇,地铁沿线",55000,总价610-2300(万/套),在售,"3室,4室",建面 95-230㎡
公园海,南沙,南沙湾,环市大道南公园海,"住宅,车位充足,绿化率高,国央企,品牌房企",价格待定,,待售,,
联发|悦璞园,增城,石滩镇,南北大道联发悦璞,"住宅,小型社区,国央企,品牌房企,公交直达",价格待定,,待售,,
龙狮璟珑府,黄埔,知识城,Y079龙狮璟珑府,"住宅,低单价,低总价,绿化率高,低密居所",23000,总价170-520(万/套),在售,"3室,4室",建面 91-168㎡
广州城投·空港1号,花都,镜湖大道,广州市花都区雅新大道（黄广中学南侧）,"住宅,车位充足,绿化率高,国央企,品牌房企",23000,总价190-270(万/套),在售,"3室,4室",建面 79-112㎡
时代天境（花都）,花都,旧区,天贵路时代天境（花都）,"住宅,人车分流,小型社区,品牌房企,地铁沿线",价格待定,,待售,,
粤海·云港城,白云,白云大道南,广东省广州市白云区齐心路84号（白云公园站旁）,"住宅,车位充足,绿化率高,国央企,品牌房企",85000,总价1250-2500(万/套),在售,4室,建面 140-264㎡
力高大家·美颂,增城,荔城西区,增城区北绕线力高大家·美颂,"住宅,小型社区,品牌房企,地铁沿线,公交直达",价格待定,,待售,,
珠江广钢花城,荔湾,东塱,广州市荔湾区荷景路5号,"住宅,低总价,绿化率高,国央企,品牌房企",35000,总价310-460(万/套),在售,"3室,4室",建面 67-114㎡
珠江·金瑶台,海珠,昌岗,广东省广州市海珠区崇礼大街18号,"住宅,绿化率高,人车分流,国央企,品牌房企",50000,总价400-510(万/套),在售,"2室,3室",建面 79-103㎡
富好城繁华里,增城,新塘北,广东省广州市增城区富好城路30,"住宅,低单价,低总价,人车分流,大型社区",13000,总价100-130(万/套),在售,3室,建面 85-101㎡
北大科技园·国际科创广场,白云,石井,石沙公路81号,"商业类,小型社区,近地铁,地铁沿线,综合商场",价格待定,,待售,,
保利西悦湾,荔湾,坑口,东漖南路保利西悦湾,"商业类,绿化率高,人车分流,国央企,品牌房企",价格待定,,待售,,
利通金融中心,南沙,明珠湾,潭州路利通金融中心,"写字楼,车位充足,大型社区,品牌房企,地铁沿线",23000,,在售,,
广州城投禧阅盛汇,增城,凤凰城,汽车城大道广州城投禧阅盛汇,"商业类,人车分流,大型社区,国央企,品牌房企",价格待定,,待售,,
富力富云山,白云,江夏,黄石西街23号,"商业类,小型社区,品牌房企,近地铁,地铁沿线",价格待定,,待售,,
天地源伴山溪谷,番禺,石楼,沙东路天地源伴山溪谷,"住宅,低单价,低总价,车位充足,绿化率高",25000,总价200-265(万/套),在售,"2室,3室",建面 83-100㎡
凯德双桥新作,荔湾,大坦沙,广东省广州市荔湾区裕福街35号,"住宅,绿化率高,人车分流,品牌房企,近地铁",57000,总价540-810(万/套),在售,"3室,4室",建面 74-128㎡
广开控股城投云锦,黄埔,长岭居,萝岭路广开控股城投云锦,"住宅,车位充足,人车分流,国央企,品牌房企",45000,总价550-870(万/套),在售,"3室,4室",建面 124-186㎡
御璟兰园,南沙,明珠湾,凤凰大道融朗园,"住宅,车位充足,人车分流,国央企,品牌房企",30000,总价260-445(万/套),在售,"4室,5室",建面 88-135㎡
合生中央城（商业）,黄埔,香雪,开源大道22号,"商业,低总价,人车分流,大型社区,休闲会所",60000,总价220-260(万/套),在售,1室,建面 40-52㎡
