,标题,地区,具体位置,类型,均价/平方米每元,室厅数,面积,标签,总价,对数均价/平方米每元,对数总价,对数面积
144,合家和府,从化,城郊街城新路136号,待售,18339.0,3,109.0,"商业,人车分流,小型社区,公交直达,开发区",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
145,嘉骏幸福里,从化,广州市从化区城郊安园街43号,待售,18339.0,3,109.0,"商业,人车分流,小型社区,健身跑道,贴心物业",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
146,华润置地润悦,增城,增城大道475号,在售,12500.0,3,110.0,"住宅,低单价,低总价,车位充足,人车分流",192.5,9.433483923290392,5.260096153727838,4.700480365792416
147,越秀臻悦府,花都,"凤凰南路, 越秀臻悦府",待售,18339.0,3,109.0,"商业,车位充足,人车分流,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
148,广州敏捷绿湖首府,增城,挂绿新城石滩广场旁(地铁16号线石滩站),在售,25000.0,1,338.0,"商业,人车分流,大型社区,品牌房企,健身跑道",400.0,10.126631103850338,5.991464547107982,5.823045895483019
149,时代绿庭山语,南沙,潭灵大道大岗镇政府旁,待售,25000.0,3,109.0,"商业,车位充足,人车分流,品牌房企,健身跑道",200.0,10.126631103850338,5.298317366548036,4.6913478822291435
150,源海仙村一号,增城,荔新大道与仙村大道交汇处,在售,20000.0,3,109.0,"商业,车位充足,人车分流,水系园林,公交直达",280.0,9.903487552536127,5.634789603169249,4.6913478822291435
151,阳光城兰园翡澜花园,花都,凤凰南路汇沣水产市场B栋喜盟国际影城东侧50米处,在售,25000.0,3,106.0,"住宅,车位充足,绿化率高,品牌房企,近地铁",300.0,10.126631103850338,5.703782474656201,4.663439094112067
152,金时花园,增城,增江街纬六路5号,在售,14000.0,1,103.5,"商业,车位充足,人车分流,品牌房企,入户花园",150.5,9.546812608597396,5.01396308418893,4.639571612705423
153,招商金茂保利和府,从化,和鸣路,在售,15000.0,3,94.0,"住宅,绿化率高,人车分流,国央企,品牌房企",152.5,9.615805480084347,5.0271645960474665,4.543294782270004
154,合景朗云花园,白云,机场路3080号夏茅地铁站旁,在售,30000.0,4,106.0,"住宅,低单价,低总价,车位充足,绿化率高",320.0,10.308952660644293,5.768320995793772,4.663439094112067
155,伟腾云星,白云,鹤龙一路766-782号,在售,45000.0,2,106.0,"住宅,低总价,车位充足,绿化率高,入户花园",410.0,10.714417768752456,6.016157159698353,4.663439094112067
156,尊悦台,南沙,广州市南沙区康宁路与荔湾路交叉路口往西约50米,在售,17500.0,2,102.5,"住宅,低单价,低总价,车位充足,人车分流",190.0,9.769956159911604,5.247024072160486,4.629862798578463
157,颐德湾尚,南沙,建设一路（南沙体育馆北侧）,在售,30000.0,3,203.5,"住宅,车位充足,绿化率高,国央企,品牌房企",987.5,10.308952660644293,6.895176496775277,5.315666004882649
158,颐德湾尚,南沙,建设一路（南沙体育馆北侧）,待售,18339.0,3,109.0,"商业,人车分流,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
159,颐德湾尚,南沙,建设一路（南沙体育馆北侧）,待售,18339.0,3,109.0,"写字楼,人车分流,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
160,时代四季奕居,越秀,环市东水荫路70号,在售,18339.0,3,109.0,"住宅,绿化率高,人车分流,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
161,嘉河湾8号,花都,荔红北路8号,在售,13500.0,2,122.5,"住宅,低单价,低总价,车位充足,绿化率高",230.0,9.51044496442652,5.438079308923196,4.808111029984781
162,品秀·星瀚,番禺,番禺区石北工业路,在售,35000.0,2,94.0,"住宅,低总价,车位充足,人车分流,国央企",360.0,10.46310334047155,5.886104031450156,4.543294782270004
163,天马河·名荟,花都,荔红南路2号,在售,14500.0,1,63.0,"住宅,低单价,低总价,小型社区,封闭管理",109.0,9.581903928408666,4.6913478822291435,4.143134726391533
164,富城华庭,增城,广汕公路增江小学西侧,在售,9000.0,2,127.5,"住宅,低单价,低总价,车位充足,人车分流",117.5,9.104979856318357,4.7664383335842135,4.84811636459848
165,中铁诺德·阅泷,白云,江高镇广花路430号,在售,24000.0,2,104.0,"住宅,低单价,低总价,车位充足,人车分流",257.5,10.085809109330082,5.551019720103791,4.6443908991413725
166,品实·云湖花城,白云,石沙路,在售,35000.0,3,105.5,"住宅,低总价,绿化率高,人车分流,国央企",447.5,10.46310334047155,6.10367653771491,4.658710952916121
167,港航中心,黄埔,黄埔大道东983号,在售,40000.0,2,99.0,"商业类,绿化率高,人车分流,国央企,品牌房企",445.5,10.596634733096073,6.0991972469108635,4.59511985013459
168,时代印记,黄埔,广东省广州市黄埔区亨美西路,在售,18000.0,3,111.5,"住宅,低单价,低总价,绿化率高,人车分流",200.0,9.798127036878302,5.298317366548036,4.7140245909001735
169,珠光金融城壹号,天河,黄埔大道东724号,在售,5000.0,3,246.5,"写字楼,低单价,车位充足,人车分流,品牌房企",3850.0,8.517193191416236,8.255828427281829,5.5073619934827445
170,凯德凯荔花园,增城,明慧路3号,在售,15500.0,3,110.0,"住宅,车位充足,人车分流,品牌房企,健身跑道",182.5,9.648595302907337,5.206750173022546,4.700480365792416
171,越秀逸泉锦翠,从化,环市东路广外实验小学东侧,在售,9800.0,3,81.5,"住宅,低总价,绿化率高,人车分流,国央企",92.0,9.190137664658662,4.5217885770490405,4.400603020246817
172,中国铁建海语熙岸,南沙,广州市南沙区美心路中国铁建海语熙岸,在售,30000.0,3,174.5,"住宅,车位充足,绿化率高,国央企,品牌房企",499.0,10.308952660644293,6.212606095751519,5.161924741642482
173,富力新城,黄埔,黄埔区东鹏大道与宏明路交界处（富力新城销售中心）,在售,25000.0,2,96.5,"住宅,低单价,低总价,绿化率高,人车分流",240.0,10.126631103850338,5.480638923341991,4.56954300834494
174,天河云商汇,天河,华观路,在售,36000.0,2,45.0,"商业类,低总价,人车分流,封闭管理,自持商业",210.0,10.491274217438246,5.3471075307174685,3.8066624897703196
175,天麟府,天河,黄埔大道中,在售,150000.0,3,163.0,"住宅,车位充足,绿化率高,品牌房企,贴心物业",2140.0,11.918390573078392,7.668561108015897,5.093750200806762
176,珠光云山壹号,白云,广州大道北云灏街157医院地块,在售,100000.0,4,215.0,"住宅,车位充足,绿化率高,置换改善,高品质小区",1700.0,11.512925464970229,7.438383530044307,5.3706380281276624
177,加富花园,番禺,莲塘路3号,在售,24500.0,2,84.5,"住宅,低单价,低总价,低密居所,人车分流",240.5,10.106428396532818,5.482720089545816,4.436751534363128
178,越秀臻裕府,花都,凤凰南路,在售,28000.0,3,111.0,"住宅,车位充足,绿化率高,国央企,品牌房企",305.0,10.239959789157341,5.720311776607412,4.709530201312334
179,保利335金融中心,增城,汽车城大道57号,待售,18339.0,3,109.0,"写字楼,车位充足,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
180,越秀·天荟江湾,海珠,瑞宝路12号,待售,18339.0,3,109.0,"商业,人车分流,大型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
181,番禺敏捷广场,番禺,番禺大道北331号,待售,18339.0,3,109.0,"写字楼,人车分流,大型社区,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
182,珠江未来城,番禺,广东省广州市番禺区石楼镇胜洲村龙启路80号,在售,20000.0,5,335.0,"商业,低总价,人车分流,大型社区,品牌房企",750.0,9.903487552536127,6.620073206530356,5.814130531825066
183,珠江时光荟,增城,广东省广州市增城区永宁街道创优路,在售,11200.0,3,81.0,"住宅,低单价,低总价,车位充足,人车分流",101.5,9.323669057283185,4.620058798481842,4.394449154672438
184,广垦天河1号,天河,怡新路广垦天河1号,待售,18339.0,3,109.0,"商业,人车分流,小型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
185,珠江未来城,番禺,广东省广州市番禺区金荷三路,待售,18339.0,3,109.0,"写字楼,人车分流,大型社区,品牌房企,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
186,广深恒大国际旅游城,南沙,南沙万环西路广深恒大国际旅游城,待售,18339.0,3,109.0,"酒店式公寓,小型社区,国央企,品牌房企,loft",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
187,凤凰瑞景,花都,广州市花都区凤凰北路45号,在售,28000.0,2,152.0,"住宅,车位充足,绿化率高,入户花园,水系园林",490.0,10.239959789157341,6.194405391104672,5.0238805208462765
188,卓越招商臻珑府,黄埔,5号线庙头路站旁,在售,40000.0,4,96.5,"住宅,绿化率高,人车分流,国央企,品牌房企",420.0,10.596634733096073,6.040254711277414,4.56954300834494
189,中旅天宸府,海珠,广东省广州市海珠区昌岗中路86号,在售,56500.0,3,113.0,"住宅,车位充足,人车分流,国央企,品牌房企",650.0,10.941995917134532,6.476972362889683,4.727387818712341
190,合景臻溋名铸,天河,黄埔大道东合景臻溋名铸,在售,18339.0,3,109.0,"住宅,车位充足,绿化率高,品牌房企,入户花园",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
191,富力富云山,白云,广东省广州市白云区白云大道北179号,在售,73000.0,3,155.0,"住宅,绿化率高,人车分流,品牌房企,近地铁",1135.0,11.198214720130528,7.0343879299155025,5.043425116919247
192,智通广场,海珠,安悦路智通广场,待售,18339.0,3,109.0,"写字楼,国央企,品牌房企,近地铁,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
193,珠江海珠里,海珠,燕子岗路68号,在售,45000.0,2,102.0,"住宅,车位充足,绿化率高,国央企,品牌房企",460.0,10.714417768752456,6.13122648948314,4.624972813284271
194,中绿蔚蓝湾,南沙,商贸大道中绿蔚蓝湾,在售,26000.0,4,110.5,"住宅,车位充足,绿化率高,国央企,品牌房企",300.0,10.165851817003619,5.703782474656201,4.705015520957807
195,广深恒大国际旅游城,南沙,南沙万环西路广州恒大国际旅游城,待售,18339.0,3,109.0,"写字楼,小型社区,国央企,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
196,中新紫荆府,增城,广东省广州市增城区城高路,在售,12000.0,2,98.0,"住宅,低单价,低总价,人车分流,大型社区",117.0,9.392661928770137,4.762173934797756,4.584967478670571
197,云谷梦筑,从化,广东省广州市从化区,在售,13500.0,3,84.0,"商业类,绿化率高,人车分流,国央企,品牌房企",118.0,9.51044496442652,4.770684624465664,4.430816798843313
198,中新智慧园,黄埔,广州市黄埔区腾龙大道与凤湖中路交汇处南侧,待售,18339.0,3,109.0,"写字楼,车位充足,人车分流,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
199,合景臻溋名铸,天河,黄埔大道东合景臻溋名铸,在售,18339.0,3,109.0,"商业,车位充足,人车分流,品牌房企,休闲会所",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
200,天河合生缦云,天河,广东省广州市天河区,在售,90000.0,3,230.0,"住宅,车位充足,绿化率高,健身跑道,儿童乐园",2600.0,11.407564949312402,7.8632667240095735,5.438079308923196
201,中新智慧园,黄埔,广州市黄埔区腾龙大道与凤湖中路交汇处南侧,待售,18339.0,3,109.0,"商业,车位充足,人车分流,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
202,汇金中心,天河,天河广州市天河区黄埔大道与科韵路交界,在售,50000.0,3,109.0,"写字楼,人车分流,封闭管理,国央企,品牌房企",850.0,10.819778284410283,6.745236349484362,4.6913478822291435
203,时代天韵（黄埔）,黄埔,广州·黄埔科学城·开源大道·2号线(开源大道东站),在售,29000.0,3,95.5,"住宅,低单价,低总价,车位充足,绿化率高",380.0,10.275051108968611,5.940171252720432,4.5591262474866845
204,越秀TOD星航,黄埔,广东省广州市黄埔区黄埔东路2009,在售,33000.0,3,114.5,"住宅,低总价,车位充足,绿化率高,国央企",400.0,10.404262840448617,5.991464547107982,4.740574822994295
205,保利天汇,天河,大观中路保利天汇,在售,35000.0,1,22.5,"商业类,低总价,人车分流,小型社区,国央企",65.0,10.46310334047155,4.174387269895637,3.1135153092103742
206,保利天汇,天河,大观中路保利天汇,待售,40000.0,3,109.0,"写字楼,人车分流,大型社区,国央企,品牌房企",8000.0,10.596634733096073,8.987196820661973,4.6913478822291435
207,南方智媒大厦,黄埔,广东省广州市黄埔区黄埔大道东,在售,37779.0,0,380.5,"写字楼,车位充足,人车分流,国央企,品牌房企",1190.0,10.539508671673955,7.081708586105575,5.941486177301741
208,广州空港融创中心,白云,广州空港经济区3号线及9号线高增地铁站旁,待售,18339.0,3,109.0,"写字楼,人车分流,大型社区,品牌房企,地铁沿线",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
209,美的江上沄启,南沙,横沥镇晓风印月东三街1号,在售,19500.0,2,49.5,"商业类,低总价,人车分流,封闭管理,品牌房企",65.0,9.878169744551839,4.174387269895637,3.9019726695746444
210,创基天璟,增城,增城大道72号,在售,15800.0,3,97.0,"住宅,车位充足,人车分流,品牌房企,贴心物业",156.5,9.667765219015058,5.0530560099802075,4.574710978503383
211,明珠花园,海珠,广东省广州市海珠区东晓路205号,在售,42000.0,3,98.0,"住宅,封闭管理,多轨交汇,地铁沿线,小三居",509.0,10.645424897265505,6.2324480165505225,4.584967478670571
212,旭辉光屿南方,白云,广东省广州市白云区钟落潭镇,在售,15000.0,3,94.5,"住宅,特价好房,低单价,绿化率高,人车分流",167.5,9.615805480084347,5.120983351265121,4.548599834499697
213,越秀·天荟江湾,海珠,瑞宝路12号,在售,25000.0,2,164.5,"商业类,低总价,人车分流,大型社区,国央企",840.0,10.126631103850338,6.733401891837359,5.1029105702054265
214,中交国际邮轮广场,南沙,广州市南沙区港前大道南沙科技馆对面,在售,25000.0,2,274.0,"商业类,车位充足,人车分流,国央企,品牌房企",287.6,10.126631103850338,5.661570625846892,5.6131281063880705
215,东方名都,增城,"东江大道北8-68号, 大林边一路9-47号",在售,23000.0,3,109.0,"底商,人车分流,大型社区,入户花园,健身跑道",337.5,10.043249494911286,5.821565510312585,4.6913478822291435
216,景业壹方天地,增城,新城大道景业壹方天地,在售,13000.0,2,91.0,"住宅,低单价,低总价,车位充足,封闭管理",120.0,9.472704636443673,4.787491742782046,4.51085950651685
217,龙湖金地天峯,番禺,傍雁路龙湖金地天峯,在售,38000.0,4,116.0,"住宅,人车分流,大型社区,品牌房企,公交直达",505.0,10.545341438708522,6.224558429275359,4.7535901911063645
218,叠溪花园,增城,朱村街道朱石路以东,待售,18339.0,3,109.0,"商业,车位充足,人车分流,品牌房企,健身跑道",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
219,广州空港融创中心,白云,机场高速广州空港融创中心,待售,15000.0,1,54.0,"商业类,人车分流,大型社区,品牌房企,地铁沿线",75.0,9.615805480084347,4.31748811353631,3.988984046564274
220,香江悦府,增城,广州绿道香江悦府,待售,110.0,3,88.5,"住宅,车位充足,人车分流,品牌房企,地铁沿线",337.5,4.700480365792416,5.821565510312585,4.483002552013883
221,金海岸花园云起兴泰,番禺,兴泰路金海岸花园云起兴泰,在售,43000.0,1,94.5,"住宅,车位充足,绿化率高,品牌房企,公交直达",406.5,10.668955394675699,6.007583928987865,4.548599834499697
222,五矿招商江天际,白云,五矿招商江天际美学体验馆,在售,48000.0,3,109.0,"住宅,低总价,人车分流,大型社区,国央企",575.0,10.778956289890028,6.354370040797351,4.6913478822291435
223,合景尚悦,从化,广州市从化区鳌头镇城鳌大道中与神棋路口交汇处,待售,18339.0,3,109.0,"住宅,绿化率高,人车分流,品牌房企",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
224,新城翡丽云境,白云,广东省广州市白云区福龙路24,在售,16000.0,3,93.0,"住宅,低单价,低总价,车位充足,绿化率高",152.5,9.680344001221918,5.0271645960474665,4.532599493153255
225,中海观澔府,海珠,广东省广州市海珠区石岗大街,在售,80000.0,4,107.5,"住宅,绿化率高,人车分流,国央企,品牌房企",900.0,11.289781913656018,6.802394763324311,4.677490847567717
226,珠江西湾里,荔湾,西湾横路珠江西湾里,在售,42000.0,2,75.5,"住宅,低总价,绿化率高,人车分流,国央企",372.0,10.645424897265505,5.918893854273146,4.324132656254979
227,越秀·万博·瑞麓府,番禺,广东省广州市番禺区欢乐大道,在售,48000.0,4,184.5,"住宅,车位充足,绿化率高,置换改善,高品质小区",1100.0,10.778956289890028,7.003065458786462,5.217649463480582
228,越秀·天瀛,荔湾,海龙路越秀天瀛,在售,32000.0,3,106.0,"住宅,低总价,车位充足,绿化率高,国央企",390.0,10.373491181781864,5.966146739123692,4.663439094112067
229,越秀星寰TOD,番禺,广州市番禺区钟村街博鸿三路38号,在售,36000.0,3,111.0,"住宅,低总价,车位充足,绿化率高,国央企",383.5,10.491274217438246,5.949339620807311,4.709530201312334
230,奥飞文创中心,黄埔,创新大道以西、凤湖二路以北,在售,15000.0,2,48.0,"商业类,低单价,低总价,车位充足,绿化率高",72.5,9.615805480084347,4.283586561860629,3.8712010109078907
231,珠江海御,南沙,海滨路珠江海御,在售,28000.0,3,152.5,"住宅,车位充足,绿化率高,品牌房企,地铁沿线",450.0,10.239959789157341,6.1092475827643655,5.0271645960474665
232,敏捷尚品国际,南沙,南沙区进港大道187号北侧,在售,9500.0,1,64.0,"商业,低单价,低总价,人车分流,大型社区",70.5,9.159047077588632,4.255612709818223,4.1588830833596715
233,嘉裕中心J公馆,天河,珠江东路421号,在售,95000.0,1,124.0,"商业类,车位充足,人车分流,品牌房企,私属庭院",1480.0,11.461632170582677,7.299797366758161,4.820281565605037
234,华新方圆·333,海珠,海珠区工业大道中333号,在售,38000.0,1,45.5,"商业类,低总价,绿化率高,人车分流,品牌房企",167.5,10.545341438708522,5.120983351265121,3.8177123259569044
235,四方天地,增城,荔富汇景华庭,在售,18000.0,3,107.5,"住宅,车位充足,低密居所,置换改善,养老舒适",198.0,9.798127036878302,5.288267030694535,4.677490847567717
236,保利南方财经大厦,天河,天河国际金融城金融方城（近临江大道）,在售,42000.0,6,353.0,"写字楼,人车分流,封闭管理,国央企,品牌房企",1600.0,10.645424897265505,7.3777589082278725,5.8664680569332965
237,保利中海金地·大国璟,增城,广汕公路保利中海金地·大国璟增城大道471号,待售,22000.0,3,109.0,"底商,车位充足,人车分流,国央企,品牌房企",100.0,9.998797732340453,4.605170185988091,4.6913478822291435
238,卓越晴翠府,番禺,广州市番禺区桥南联兴路28号,在售,28000.0,2,103.0,"住宅,低单价,低总价,车位充足,人车分流",292.5,10.239959789157341,5.678464666671911,4.634728988229636
239,保利锦绣公馆,白云,大源南路84号,待售,21000.0,3,41.5,"商业类,绿化率高,人车分流,国央企,品牌房企",90.0,9.95227771670556,4.499809670330265,3.7256934272366524
240,招商电建南国·雍云邸,白云,广东省广州市白云区石沙路石井工业区八横路,在售,27500.0,3,90.5,"住宅,低单价,低总价,绿化率高,人车分流",255.0,10.221941283654662,5.541263545158426,4.50534985070588
241,耀胜新世界广场·耀胜尊府,番禺,汉兴西路耀胜新世界广场,在售,65000.0,3,104.5,"住宅,车位充足,人车分流,品牌房企,近地铁",655.0,11.082142548877775,6.484635235635252,4.6491870714048655
242,徐福上坤云境风华,增城,朱村大道中徐福上坤云境风华,待售,18339.0,3,109.0,"住宅,车位充足,人车分流,品牌房企,近地铁",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
243,广州幸福湾,荔湾,汇盛路广州幸福湾,在售,80000.0,4,270.0,"住宅,车位充足,绿化率高,地铁沿线,大平层",2450.0,11.289781913656018,7.803843303538772,5.598421958998374
244,招商保利海珠天珺,海珠,海珠区新港东路招商保利·海珠天珺项目部,在售,100000.0,4,199.5,"住宅,车位充足,人车分流,国央企,品牌房企",1900.0,11.512925464970229,7.549609165154531,5.295814236329918
245,首铸·铂瑞云湾,番禺,莲港大道与庄园路交汇,在售,24000.0,3,120.0,"住宅,低单价,低总价,车位充足,绿化率高",345.0,10.085809109330082,5.843544417031359,4.787491742782046
246,越秀星耀TOD,增城,环城路越秀·星耀TOD,在售,20000.0,3,112.5,"住宅,车位充足,人车分流,近地铁,地铁沿线",225.0,9.903487552536127,5.41610040220442,4.722953221644475
247,广州城投·禧悦府,增城,汽车城大道广州城投禧悦府,在售,29000.0,2,117.5,"住宅,车位充足,人车分流,国央企,品牌房企",352.5,10.275051108968611,5.865050622252323,4.7664383335842135
248,华润置地金沙瑞府,白云,广州市白云区金沙洲浔峰山东路西北侧,在售,50000.0,4,143.0,"住宅,车位充足,绿化率高,国央企,置换改善",650.0,10.819778284410283,6.476972362889683,4.962844630259907
249,建发明珠湾玺,南沙,凤凰大道凤凰二桥地铁18号线横沥站旁约250米处,在售,31000.0,4,115.0,"住宅,车位充足,人车分流,国央企,品牌房企",450.0,10.341742483467282,6.1092475827643655,4.74493212836325
250,深业颐泽府,南沙,凤凰大道深业颐泽府,在售,37000.0,4,146.5,"住宅,车位充足,绿化率高,国央企,品牌房企",530.0,10.51867319162636,6.272877006546167,4.987025428457122
251,华宇·锦绣云赋,从化,从城大道华宇·锦绣云赋,在售,15000.0,3,92.5,"住宅,绿化率高,人车分流,品牌房企,水系园林",136.5,9.615805480084347,4.916324614625014,4.527208644518379
252,金地景业格林水岸,增城,新新大道北金地景业格林水岸,待售,18339.0,3,109.0,"住宅,车位充足,人车分流,品牌房企,公交直达",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
253,金地·云上,增城,广东省广州市增城区S118(新新大道北),在售,11000.0,2,82.0,"住宅,低单价,低总价,人车分流,大型社区",112.5,9.305650551780507,4.722953221644475,4.406719247264253
254,悦辰壹号,黄埔,广东省广州市黄埔区Y079,在售,24000.0,3,128.5,"住宅,低单价,低总价,车位充足,人车分流",255.0,10.085809109330082,5.541263545158426,4.855928904335275
255,国科众安江屿大观,番禺,广东省广州市番禺区 沙堤路600号,在售,16800.0,2,117.0,"商业类,车位充足,人车分流,品牌房企,公交直达",332.5,9.72913416539135,5.806639860095909,4.762173934797756
256,振业学府里,增城,南顺石场路13号,在售,14000.0,3,91.0,"住宅,低总价,人车分流,小型社区,国央企",130.0,9.546812608597396,4.867534450455582,4.51085950651685
257,珠江博悦庭,增城,新城大道珠江博悦庭,待售,18339.0,3,109.0,"住宅,人车分流,大型社区,品牌房企,小户型",337.5,9.816785218696834,5.821565510312585,4.6913478822291435
258,越秀联投知识城·居山涧,黄埔,广州黄埔知识城凤凰湖旁,在售,46000.0,4,165.0,"住宅,绿化率高,低密居所,国央企,置换改善",850.0,10.736396675471232,6.745236349484362,5.10594547390058
259,中洲紫轩,黄埔,广东省广州市黄埔区中山大道387号（5/13号线鱼珠站）,在售,50000.0,3,126.0,"住宅,车位充足,人车分流,品牌房企,近地铁",685.0,10.819778284410283,6.529418838262225,4.836281906951478
260,广州城投领南府,番禺,石洲中路广州城投领南府,在售,38000.0,2,120.5,"住宅,低总价,车位充足,绿化率高,国央企",475.0,10.545341438708522,6.163314804034641,4.791649752930709
261,云裳峯尚,白云,白云区白水塘文明路1号,在售,55000.0,3,105.5,"住宅,车位充足,人车分流,品牌房企,休闲会所",681.0,10.915088464214607,6.523562306149512,4.658710952916121
262,侨鑫保利汇景台,天河,科韵北路23号,在售,136000.0,4,231.5,"住宅,车位充足,绿化率高,置换改善,高品质小区",3230.0,11.820410164718188,8.080237416216702,5.444579873526289
263,金科景业·雍景园,增城,坑贝地铁站B口东100米,待售,24500.0,1,61.0,"底商,低总价,车位充足,人车分流,品牌房企",97.5,10.106428396532818,4.579852378003801,4.110873864173311
264,碧桂园云樾江湾,增城,新城大道碧桂园云樾江湾,在售,21000.0,3,112.5,"住宅,车位充足,绿化率高,品牌房企,近地铁",237.5,9.95227771670556,5.470167623474696,4.722953221644475
265,保利天汇,天河,大观中路保利天汇,在售,55000.0,1,112.0,"底商,车位充足,人车分流,国央企,品牌房企",616.0,10.915088464214607,6.423246963533519,4.718498871295094
266,越秀·大学·星汇城,番禺,广州市番禺区新造镇曾边大街66号,在售,40000.0,3,105.5,"住宅,低总价,车位充足,人车分流,国央企",440.0,10.596634733096073,6.0867747269123065,4.658710952916121
267,保利珑悦,增城,广州市增城区创业大道,在售,12000.0,2,91.0,"住宅,低单价,低总价,车位充足,人车分流",113.5,9.392661928770137,4.7318028369214575,4.51085950651685
268,飞晟汇,黄埔,广州市黄埔区科学城开创大道彩文路166号,在售,21800.0,3,435.0,"写字楼,车位充足,近地铁,地铁沿线,大平层",1059.5,9.98966524877718,6.965552377708353,6.075346031088684
269,路劲星棠,增城,东洲大道路劲星棠,在售,16000.0,3,86.5,"住宅,特价好房,车位充足,人车分流,品牌房企",140.0,9.680344001221918,4.941642422609304,4.460144413937833
270,知识城投资嘉达·山与墅,黄埔,广东省广州市黄埔区Y079与长庚北街交叉路口往西约200米,在售,45000.0,3,170.5,"住宅,车位充足,绿化率高,国央企,置换改善",750.0,10.714417768752456,6.620073206530356,5.1387352967235715
271,远洋天成,增城,广东省广州市增城区石新路,在售,16500.0,3,88.0,"住宅,人车分流,小型社区,国央企,品牌房企",149.0,9.711115659888671,5.003946305945459,4.477336814478206
272,广晟中国铁建花语天珹,花都,黄槐路广晟中铁建花语天珹,在售,21000.0,2,117.0,"住宅,车位充足,绿化率高,国央企,品牌房企",280.0,9.95227771670556,5.634789603169249,4.762173934797756
273,金地商置都会峯范,花都,新街大道100号,在售,18000.0,2,103.0,"住宅,低总价,车位充足,人车分流,品牌房企",199.5,9.798127036878302,5.295814236329918,4.634728988229636
274,中建凤榕台,增城,广东省广州市增城区福昆线辅路,在售,23000.0,3,85.0,"住宅,人车分流,大型社区,国央企,品牌房企",195.0,10.043249494911286,5.272999558563747,4.442651256490317
275,中铁建信达花语天宸,黄埔,广汕公路与班岭路交叉西南420米,在售,41000.0,3,132.5,"住宅,车位充足,人车分流,国央企,品牌房企",610.0,10.621327345686444,6.413458957167356,4.886582645426277
276,中盛顺和家园,增城,广汕公路中盛顺和家园,在售,12000.0,3,113.0,"住宅,低单价,低总价,车位充足,人车分流",160.0,9.392661928770137,5.075173815233827,4.727387818712341
277,方圆滨江壹号,海珠,海珠区艺景路与友邻三路交叉口南120米,在售,110000.0,3,111.0,"住宅,绿化率高,人车分流,品牌房企,近地铁",1140.0,11.608235644774552,7.038783541388541,4.709530201312334
278,翰盛府,番禺,汉兴西路锦绣香江拾光盛境,在售,80000.0,3,146.5,"住宅,绿化率高,低密居所,置换改善,高品质小区",1065.0,11.289781913656018,6.970730078143525,4.987025428457122
279,中海保利朗阅,荔湾,广东省广州市荔湾区,在售,58000.0,2,140.0,"住宅,车位充足,绿化率高,国央企,品牌房企",965.0,10.968198289528557,6.872128101338986,4.941642422609304
280,珠江未来城,番禺,广东省广州市番禺区石楼镇胜洲村龙启路80号,在售,11000.0,1,52.0,"商业类,低单价,低总价,绿化率高,人车分流",67.5,9.305650551780507,4.212127597878484,3.951243718581427
281,星河畔月湾,南沙,新广一路星河畔月湾,在售,20000.0,3,103.0,"住宅,低单价,低总价,车位充足,绿化率高",230.0,9.903487552536127,5.438079308923196,4.634728988229636
282,振业天成,黄埔,广州市黄埔区联和街黄陂四路,在售,35500.0,4,136.0,"住宅,低总价,车位充足,绿化率高,国央企",649.0,10.477287975463506,6.4754327167040895,4.9126548857360515
283,绿城桂语汀澜,南沙,广州市南沙区横沥镇沥岛三多涌以东、义沙路以西、横沥大道东以南,在售,28000.0,4,119.5,"住宅,车位充足,绿化率高,国央企,品牌房企",333.0,10.239959789157341,5.808142489980444,4.783316371371566
284,琶洲南TOD,海珠,广东省广州市海珠区,在售,130000.0,3,209.0,"住宅,车位充足,人车分流,国央企,品牌房企",2625.0,11.77528972943772,7.872836175025724,5.342334251964811
285,招商湾区1872,南沙,南沙庆盛港科大广州校区旁,在售,22000.0,3,92.0,"住宅,低总价,车位充足,人车分流,国央企",200.0,9.998797732340453,5.298317366548036,4.5217885770490405
